Age,EdLevel,Gender,MainBranch,YearsCode,YearsCodePro,PreviousSalary,ComputerSkills,Employed,codingLge,frontSkills,backFrame,db,deploy,tool,targetTask
<35,Master,Man,Dev,7,4,51552.0,4,0,1,0,0,1,0,1,0
<35,Undergraduate,Man,Dev,12,5,46482.0,12,1,1,1,1,1,1,1,0
<35,Master,Man,Dev,15,6,77290.0,7,0,1,0,1,0,0,1,0
<35,Undergraduate,Man,Dev,9,6,46135.0,13,0,1,1,1,1,1,1,0
>35,PhD,Man,NotDev,40,30,160932.0,2,0,1,0,0,0,0,0,0
<35,Master,Man,Dev,9,2,38915.0,5,0,1,0,0,1,1,1,0
>35,Master,Man,Dev,26,18,77831.0,17,1,1,1,1,1,1,1,0
<35,Master,Man,NotDev,14,5,81319.0,4,0,1,0,0,0,1,1,0
>35,Undergraduate,Man,Dev,39,21,68507.0,3,0,1,0,0,1,0,1,0
>35,Master,Man,Dev,20,16,37752.0,6,0,1,0,0,1,1,1,1
<35,Undergraduate,Man,Dev,4,2,122580.0,18,1,1,0,1,1,1,1,0
<35,Undergraduate,Man,Dev,6,2,11832.0,13,1,1,1,1,1,0,1,1
<35,Master,Man,Dev,19,10,60535.0,5,0,1,0,0,0,0,1,0
<35,Undergraduate,Man,Dev,8,0,103000.0,7,0,1,0,0,0,1,1,0
<35,Master,Man,NotDev,6,3,25944.0,5,0,1,0,0,0,0,1,0
>35,Undergraduate,Man,Dev,22,15,60480.0,16,1,1,1,1,1,1,1,0
<35,Other,Man,Dev,7,1,20556.0,5,0,1,0,0,1,0,1,0
<35,Undergraduate,Man,Dev,12,6,25944.0,25,1,1,1,1,1,1,1,1
>35,Master,Man,Dev,34,12,64630.0,14,1,1,1,1,1,1,1,0
>35,Master,Man,Dev,21,16,54049.0,17,1,1,1,1,1,1,1,0
<35,Other,Man,NotDev,5,3,22644.0,12,0,1,1,1,1,1,1,0
>35,Other,Man,Dev,25,10,71850.0,6,0,1,0,1,1,0,1,1
>35,Master,Man,Dev,20,10,58373.0,7,1,1,0,1,1,1,1,0
>35,Undergraduate,Man,Dev,24,18,129266.0,12,0,1,1,1,1,1,1,0
<35,Master,Man,NotDev,10,2,25944.0,7,0,1,0,0,0,0,1,1
>35,Undergraduate,Man,Dev,25,15,105000.0,6,0,1,1,0,0,0,1,0
<35,Undergraduate,Man,NotDev,12,8,45564.0,39,1,1,1,1,1,1,1,1
>35,PhD,Man,Dev,10,8,151263.0,8,0,1,1,1,1,1,1,0
>35,Undergraduate,Man,NotDev,10,3,40500.0,8,0,1,0,0,1,1,1,0
<35,Undergraduate,Man,Dev,12,7,43908.0,24,1,1,1,1,1,1,1,0
<35,Master,Man,Dev,25,6,42336.0,21,1,1,1,1,1,1,1,0
>35,Other,Man,Dev,31,17,95295.0,10,1,1,0,1,1,1,0,0
<35,PhD,Man,Dev,18,1,100000.0,8,0,1,1,0,0,1,1,1
>35,Undergraduate,Man,Dev,26,14,61398.0,10,1,1,1,0,1,1,1,1
<35,NoHigherEd,Man,NotDev,20,10,108098.0,17,1,1,1,1,0,1,1,0
<35,Undergraduate,Man,Dev,10,4,27336.0,21,1,1,1,1,1,1,1,0
<35,Master,Man,Dev,10,7,5216.0,4,0,1,0,0,1,1,1,0
<35,Master,Man,Dev,8,3,151337.0,11,0,1,1,1,1,1,1,0
<35,Other,Man,Dev,18,8,24648.0,18,1,1,1,1,1,1,1,0
<35,Undergraduate,Man,Dev,4,1,7788.0,5,0,1,0,1,0,1,1,0
>35,Master,Man,Dev,38,26,134176.0,14,1,1,1,1,1,1,1,0
<35,Undergraduate,Man,Dev,10,3,64630.0,8,1,1,1,1,1,0,1,0
<35,Undergraduate,Man,Dev,10,8,38915.0,13,1,1,1,1,1,1,1,0
<35,Undergraduate,Man,Dev,8,3,4944.0,11,0,1,1,1,1,1,0,0
<35,Other,Man,Dev,6,1,29508.0,33,1,1,1,1,1,1,1,1
<35,Master,Man,Dev,13,2,14268.0,17,1,1,1,0,1,1,1,1
<35,Undergraduate,Man,Dev,10,2,43239.0,17,1,1,1,1,1,1,1,0
<35,NoHigherEd,Man,Dev,3,0,48.0,8,0,1,1,1,1,1,1,0
<35,Undergraduate,Man,Dev,12,6,140000.0,14,1,1,1,1,1,1,0,1
<35,Other,Man,Dev,6,4,14124.0,26,1,1,1,1,1,1,1,1
>35,Other,Man,NotDev,6,5,101916.0,7,0,1,0,0,1,1,1,0
<35,Master,Man,Dev,17,8,21000.0,7,0,1,0,0,1,1,1,0
<35,Undergraduate,Man,Dev,7,1,54000.0,10,1,1,1,1,1,1,1,0
>35,Master,Man,Dev,27,16,200000.0,19,1,1,1,1,1,1,1,0
<35,Undergraduate,Man,Dev,17,5,36324.0,23,1,1,1,1,1,1,1,0
