特征名称,权重系数,影响强度（绝对值）
z_ComputerSkills,2.0037727943270345,2.0037727943270345
codingLge,1.1769451676211136,1.1769451676211136
frontSkills,0.7502879999560018,0.7502879999560018
deploy,-0.7462769177321625,0.7462769177321625
backFrame,0.5996734411368336,0.5996734411368336
db,0.4173696444603781,0.4173696444603781
MainBranch,0.4153647724105242,0.4153647724105242
EdLevel_PhD,-0.4112099021013352,0.4112099021013352
tool,0.2593042272100275,0.2593042272100275
Gender_Woman,-0.13187617303971527,0.13187617303971527
z_YearsCode,0.09127465630427915,0.09127465630427915
EdLevel_Undergraduate,0.06588235059715424,0.06588235059715424
EdLevel_Master,-0.05997387342984861,0.05997387342984861
Gender_Man,-0.0565456997635814,0.0565456997635814
z_PreviousSalary,-0.05616138303739169,0.05616138303739169
targetTask,-0.04560126625882589,0.04560126625882589
z_YearsCodePro,0.042135508782575146,0.042135508782575146
EdLevel_NoHigherEd,0.040208621368044095,0.040208621368044095
Age,0.022502640602690048,0.022502640602690048
